City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
216,Harper,LR,76.84,light rain,4.375,-7.7169,Screensaver
218,Tuy Hoa,VN,82.58,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
219,Bandarbeyla,SO,76.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
240,Flin Flon,CA,75.04,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
244,Naze,JP,78.76,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
248,Labuhan,ID,75.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
249,Hobyo,SO,76.69,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
251,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
256,Wanning,CN,82.09,moderate rain,18.8003,110.3967,Paradise Hotel
258,Caiaponia,BR,86.45,scattered clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
260,San Carlos,VE,81.34,broken clouds,9.6612,-68.5827,Hotel Paternopoli
261,Varangaon,IN,78.37,overcast clouds,21.0167,75.9,Pramod Tawade
262,Salinopolis,BR,79.38,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
264,West Wendover,US,85.21,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
265,Altoona,US,80.49,clear sky,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
266,Yining,CN,75.51,clear sky,29.0361,114.5636,Xiushui Hotel
271,Borazjan,IR,88.93,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
272,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
273,Shenxian,CN,77.5,clear sky,36.2411,115.6672,Xinhe Hotel
274,Jardim,BR,79.18,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
278,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
280,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
281,Bhadohi,IN,77.77,moderate rain,25.4167,82.5667,Hotel Glory- Classic Restaurant
289,Riachao Das Neves,BR,89.8,scattered clouds,-11.7461,-44.91,Casa Costa
293,Braganca,BR,77.58,light rain,-1.0536,-46.7656,Marujo's Suíte Hotel
295,Pandan,PH,82.53,overcast clouds,14.0453,124.1694,Bonifacio Lodge
296,Barcelona,ES,77.61,moderate rain,41.3888,2.159,Axel Hotel Barcelona
300,Katsuura,JP,80.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
304,Sao Jose Da Laje,BR,75.16,scattered clouds,-9.0097,-36.0583,Pousada Gente Nossa
306,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
309,Eyl,SO,76.21,few clouds,7.9803,49.8164,Amiin Hotel
310,Acapulco,MX,86.68,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
311,Trairi,BR,81.01,few clouds,-3.2778,-39.2689,janelas do mar
313,Guerrero Negro,MX,85.32,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
314,Missoula,US,89.17,broken clouds,47.0166,-113.8009,Gold Creek Cabin
318,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Redface Studios Meublés
320,Ugoofaaru,MV,82.22,scattered clouds,5.6667,73.0,Ungoofaaru Inn
322,Mogadishu,SO,76.32,overcast clouds,2.0371,45.3438,Hotel Juba
337,Axim,GH,76.66,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
346,Goderich,CA,75.9,overcast clouds,43.7501,-81.7165,Harmony Inn
353,Whitecourt,CA,76.24,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
356,Banda Aceh,ID,80.49,overcast clouds,5.5577,95.3222,Sulthan Hotel International
359,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
360,Westport,US,79.36,few clouds,41.1415,-73.3579,The Westport Inn
365,Anloga,GH,79.02,scattered clouds,5.7947,0.8973,Pin Drop Hotel
374,Ajdabiya,LY,83.46,clear sky,30.7554,20.2263,Almadina Hotel
375,Shirochanka,RU,78.33,clear sky,46.6497,38.3978,Эко-кемпинг St. Agria
376,La Ronge,CA,75.42,smoke,55.1001,-105.2842,Northland Motor Hotel
378,Numan,NG,77.4,overcast clouds,9.4667,12.0333,Zangun Motel
379,Cape Coast,GH,76.19,clear sky,5.1053,-1.2466,Samrit Hotel
380,Carupano,VE,82.72,broken clouds,10.6678,-63.2585,Hotel La dorada
381,Sheridan,US,87.69,overcast clouds,44.8333,-106.9173,Comfort Inn & Suites
382,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
384,Kaseda,JP,80.85,light rain,31.4167,130.3167,Sun Stay Kaseda
387,Baraboo,US,80.02,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
388,Ndjole,GA,79.74,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
389,Onda,ES,78.3,scattered clouds,39.9667,-0.25,Motel Shhh
390,Limbuhan,PH,82.76,overcast clouds,11.8838,124.0501,D'Bluewave Resort
392,Harindanga,IN,84.18,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
393,Seoul,KR,78.4,broken clouds,37.5683,126.9778,롯데호텔 서울
394,Jiexiu,CN,75.78,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
397,Whitehorse,CA,76.1,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
400,Pathein,MM,79.03,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
403,Ranong,TH,79.54,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
412,Tulsipur,NP,75.7,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
417,Kanbe,MM,77.05,overcast clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
420,Bogale,MM,78.8,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
422,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
424,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
426,Jiangyou,CN,76.8,scattered clouds,31.7667,104.7167,Shangping Shuyuan Inn
433,Dawlatabad,AF,80.53,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
435,Biak,ID,75.16,few clouds,-0.9131,122.8766,Penginapan Kim
