City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Schwedt,DE,53.0596,14.2815,69.6,70,4,13.15,clear sky
80,Calabozo,VE,8.9242,-67.4293,85.32,64,55,2.3,broken clouds
81,Nikolskoye,RU,59.7035,30.7861,66.09,71,71,4.38,broken clouds
82,Tumbi,TZ,-5.0667,32.7333,69.37,41,16,11.59,few clouds
83,Namibe,AO,-15.1961,12.1522,68.02,94,38,2.48,scattered clouds
84,Miyako,JP,39.6367,141.9525,72.36,96,100,6.91,overcast clouds
85,Aksu,CN,41.1231,80.2644,75.67,32,0,3.78,clear sky
86,Walvis Bay,NA,-22.9575,14.5053,74.35,16,0,5.75,clear sky
87,Saskylakh,RU,71.9167,114.0833,65.75,42,0,8.46,clear sky
88,Faanui,PF,-16.4833,-151.75,77.86,63,96,16.62,overcast clouds
89,Maarianhamina,AX,60.0973,19.9348,66.06,82,75,8.05,broken clouds
90,Takab,IR,36.4009,47.1133,68.04,59,2,2.64,clear sky
91,Sakakah,SA,29.9697,40.2064,92.77,11,0,6.73,clear sky
92,Lorengau,PG,-2.0226,147.2712,79.75,77,36,4.18,scattered clouds
93,Vao,NC,-22.6667,167.4833,66.83,59,0,22.68,clear sky
94,Mahebourg,MU,-20.4081,57.7,70.09,78,75,14.97,broken clouds
95,Saint Anthony,US,45.0205,-93.218,87.26,45,40,4.0,haze
96,Ocampo,MX,21.65,-101.5,74.75,38,9,11.74,clear sky
97,Avarua,CK,-21.2078,-159.775,75.25,73,40,16.11,light rain
98,Kavaratti,IN,10.5669,72.642,81.27,81,17,15.26,few clouds
99,Jamestown,US,42.097,-79.2353,73.09,54,20,4.0,few clouds
100,Mango,US,27.9797,-82.3065,95.14,69,40,13.8,scattered clouds
101,Tasiilaq,GL,65.6145,-37.6368,51.96,78,66,3.4,broken clouds
102,Mataura,NZ,-46.1927,168.8643,47.48,100,100,1.63,light rain
103,Sinegorye,RU,62.0788,150.477,57.27,51,63,4.41,broken clouds
104,Sungaipenuh,ID,-2.0833,101.3833,63.64,98,96,1.05,overcast clouds
105,Dubti,ET,11.7361,41.0853,89.58,49,100,4.65,overcast clouds
106,Barrow,US,71.2906,-156.7887,46.42,90,90,14.97,overcast clouds
107,Debrecen,HU,47.5333,21.6333,75.31,73,2,4.61,clear sky
108,Vanimo,PG,-2.6741,141.3028,76.23,89,44,4.27,scattered clouds
109,Bah,IN,26.87,78.5975,85.23,72,45,9.04,scattered clouds
110,Maniitsoq,GL,65.4167,-52.9,46.26,86,23,6.78,few clouds
111,Angoche,MZ,-16.2325,39.9086,75.0,72,52,10.71,broken clouds
112,Gizo,SB,-8.103,156.8419,81.32,76,86,16.98,overcast clouds
113,Klaksvik,FO,62.2266,-6.589,49.12,74,84,12.46,broken clouds
114,New Norfolk,AU,-42.7826,147.0587,47.7,71,12,1.01,few clouds
115,Xai-Xai,MZ,-25.0519,33.6442,62.19,84,0,6.58,clear sky
116,Lompoc,US,34.6391,-120.4579,90.12,72,40,12.66,scattered clouds
117,Alice Springs,AU,-23.7,133.8833,56.75,67,0,5.75,clear sky
118,Mabai,CN,23.0128,104.4508,64.11,98,100,3.18,moderate rain
119,Kahului,US,20.8947,-156.47,82.98,68,20,21.85,few clouds
120,Alofi,NU,-19.0595,-169.9187,76.89,100,93,12.66,light rain
121,Kavieng,PG,-2.5744,150.7967,80.65,75,40,5.64,light rain
122,Aklavik,CA,68.2191,-135.0107,75.92,38,96,11.48,overcast clouds
123,Mubi,NG,10.2676,13.2644,72.72,87,100,2.26,overcast clouds
124,Tiznit,MA,29.5833,-9.5,83.77,37,3,2.95,clear sky
125,Sawtell,AU,-30.3833,153.1,60.82,67,0,0.0,clear sky
126,Krasnoselkup,RU,65.7,82.4667,51.58,75,81,7.45,broken clouds
127,Ano Mera,GR,37.45,25.4,89.67,42,0,5.75,clear sky
